iter	Passed	Remaining
0	155	124418
1	174	69460
2	190	50679
3	206	41101
4	224	35624
5	245	32495
6	263	29836
7	282	27990
8	301	26515
9	324	25606
10	343	24655
11	361	23706
12	376	22816
13	397	22301
14	417	21836
15	434	21278
16	459	21185
17	475	20674
18	496	20397
19	517	20171
20	536	19893
21	556	19673
22	575	19427
23	591	19133
24	611	18944
25	630	18767
26	650	18618
27	671	18513
28	691	18384
29	707	18147
30	723	17954
31	739	17756
32	759	17655
33	778	17548
34	798	17461
35	816	17328
36	834	17199
37	851	17073
38	873	17035
39	890	16926
40	908	16825
41	927	16732
42	944	16634
43	962	16530
44	977	16407
45	993	16286
46	1008	16158
47	1022	16017
48	1039	15925
49	1052	15794
50	1066	15669
51	1081	15563
52	1094	15423
53	1109	15328
54	1124	15226
55	1138	15124
56	1152	15019
57	1167	14941
58	1183	14859
59	1201	14817
60	1216	14732
61	1233	14686
62	1248	14610
63	1264	14540
64	1279	14471
65	1295	14412
66	1312	14361
67	1328	14303
68	1343	14238
69	1359	14178
70	1378	14153
71	1392	14083
72	1407	14015
73	1422	13957
74	1438	13902
75	1453	13842
76	1467	13783
77	1482	13722
78	1497	13667
79	1513	13625
80	1531	13594
81	1550	13579
82	1566	13532
83	1583	13498
84	1598	13449
85	1615	13408
86	1631	13373
87	1650	13357
88	1669	13335
89	1686	13302
90	1707	13307
91	1742	13410
92	1769	13448
93	1782	13390
94	1802	13379
95	1819	13344
96	1838	13322
97	1850	13252
98	1862	13189
99	1879	13158
100	1892	13099
101	1904	13031
102	1914	12958
103	1932	12935
104	1956	12947
105	1968	12890
106	1981	12833
107	1993	12771
108	2007	12727
109	2021	12682
110	2035	12636
111	2048	12585
112	2061	12534
113	2073	12477
114	2085	12421
115	2098	12374
116	2111	12324
117	2124	12277
118	2139	12244
119	2150	12186
120	2163	12137
121	2173	12078
122	2184	12021
123	2195	11968
124	2206	11916
125	2217	11861
126	2269	12026
127	2282	11984
128	2295	11937
129	2307	11893
130	2322	11859
131	2335	11818
132	2347	11772
133	2359	11728
134	2370	11676
135	2383	11634
136	2395	11594
